table_name
sso_providers
sso_domains
mfa_amr_claims
instances
schema_migrations
audit_log_entries
flow_state
saml_providers
one_time_tokens
saml_relay_states
sessions
users
refresh_tokens
identities
mfa_challenges
mfa_factors
oauth_clients
